Ambience,Divey
Wheelchair Accessible,No
Ambience,Intimate
Good For,"Brunch, Dinner"
Parking,"Street, Validated"
Best Nights,"Wed, Fri, Sun"
Waiter Service,Yes
Best Nights,Tue
Best Nights,"Mon, Wed, Fri"
Best Nights,"Mon, Wed, Sun"
Best Nights,"Wed, Thu, Sun"
Best Nights,"Wed, Sat"
Caters,No
Takes Reservations,No
Caters,Yes
Music,"DJ, Music Videos"
Parking,"Valet, Street"
Good For,"Lunch, Dinner"
Wheelchair Accessible,Yes
Music,"Music Videos, Karaoke"
Music,"Live, Juke Box"
Has TV,No
Bike Parking,No
Accepts Credit Cards,Yes
Best Nights,"Fri, Sat"
Best Nights,Sun
Good for Kids,No
Good For,"Dinner, Late Night"
Parking,Valet
Noise Level,Average
Best Nights,"Tue, Wed, Sun"
Happy Hour,No
Delivery,No
Music,"Juke Box, Background"
Happy Hour,Yes
Delivery,Yes
Wi-Fi,Free
Best Nights,"Wed, Sat, Sun"
Music,"DJ, Live, Music Videos"
Ambience,Casual
Best Nights,"Sat, Sun"
Best Nights,"Mon, Sat, Sun"
Ambience,"Casual, Trendy"
Music,Live
Bike Parking,Yes
Has TV,Yes
Best Nights,"Tue, Fri"
Ambience,Hipster
Parking,"Valet, Garage"
Best Nights,"Thu, Fri, Sun"
Music,"DJ, Juke Box, Karaoke"
By Appointment Only,No
Best Nights,Mon
Good For,"Brunch, Dessert"
Music,"DJ, Live"
Good For,Brunch
Good for Groups,No
Ambience,"Divey, Casual"
Attire,Casual
Best Nights,"Mon, Fri, Sat"
Good For,Dinner
Wi-Fi,No
Ambience,"Trendy, Upscale"
Music,"DJ, Background"
Music,Music Videos
Parking,"Valet, Garage, Street"
Take-out,Yes
Good For,Late Night
Accepts Apple Pay,Yes
Waiter Service,No
Outdoor Seating,Yes
Best Nights,Fri
Ambience,Romantic
Noise Level,Very Loud
Has Pool Table,No
Good for Kids,Yes
Best Nights,Wed
Best Nights,"Mon, Wed, Sat"
Best Nights,"Thu, Sat"
Accepts Credit Cards,No
Music,"Live, Background, Karaoke"
Music,"DJ, Live, Juke Box, Music Videos, Background, Karaoke"
Best Nights,"Thu, Fri, Sat"
Music,"DJ, Juke Box"
Best Nights,"Mon, Wed, Thu"
Good For,"Lunch, Dinner, Late Night"
Coat Check,Yes
Best Nights,"Mon, Tue"
Best Nights,Sat
Best Nights,"Tue, Sat, Sun"
Best Nights,"Tue, Wed, Sat"
Smoking,Yes
Parking,Private Lot
Best Nights,"Tue, Thu, Fri"
Smoking,Outdoor Area/ Patio Only
Take-out,No
Smoking,No
Accepts Apple Pay,No
Best Nights,"Wed, Thu, Fri"
Music,"Juke Box, Music Videos"
Parking,"Valet, Garage, Street, Validated"
Accepts Bitcoin,No
Ambience,Upscale
Parking,"Valet, Street, Private Lot"
Parking,"Garage, Street"
Best Nights,"Wed, Fri, Sat"
Ambience,Trendy
Music,Background
Music,"Juke Box, Karaoke"
Music,"DJ, Live, Background, Karaoke"
Parking,Street
Best Nights,"Mon, Tue, Wed"
Coat Check,No
Good for Working,Yes
Good For,Lunch
Best Nights,"Fri, Sat, Sun"
Music,"Live, Background"
Best Nights,"Mon, Thu, Sat"
Best Nights,"Thu, Sat, Sun"
Best Nights,"Tue, Wed, Thu"
Parking,"Garage, Street, Private Lot"
Best Nights,"Wed, Thu, Sat"
Music,DJ
Music,Karaoke
Good For Dancing,Yes
Noise Level,Loud
Best Nights,"Mon, Thu, Fri"
Drive-Thru,No
Ambience,"Trendy, Intimate, Classy"
Best Nights,"Mon, Fri, Sun"
Parking,"Street, Private Lot"
Has Pool Table,Yes
Best Nights,"Tue, Fri, Sat"
Parking,Garage
Outdoor Seating,No
Attire,Dressy
Ambience,Classy
Best Nights,Thu
Noise Level,Quiet
Good For,Breakfast
Good For,"Brunch, Lunch, Dinner, Late Night"
Good For Dancing,No
Best Nights,"Tue, Sat"
Music,"DJ, Live, Juke Box"
Takes Reservations,Yes
Alcohol,Full Bar
Good for Groups,Yes
Alcohol,Beer & Wine Only
Music,Juke Box
Dogs Allowed,Yes
Dogs Allowed,No
Best Nights,"Tue, Thu, Sat"
Best Nights,"Mon, Tue, Sat"
Alcohol,No
Ages Allowed,21+
Best Nights,"Mon, Fri"
